Observer,Bird_Point,PointNum,Time,Site,Visit,Date,CloudCover,TempC,WindKm,Aou_Code,Distance,Detection,Flyover,Sex,
JSC,OAK1,1,532,OAKA,1,60714,80,13,0,BOBO,53,S,,,
JSC,OAK1,1,532,OAKA,1,60714,80,13,0,COYE,42,S,,,
JSC,OAK1,1,532,OAKA,1,60714,80,13,0,COYE,40,S,,,
JSC,OAK1,1,532,OAKA,1,60714,80,13,0,WEME,52,S,,,
JSC,OAK1,1,532,OAKA,1,60714,80,13,0,SAVS,27,S,,,
JSC,OAK1,1,532,OAKA,1,60714,80,13,0,SAVS,29,S,,,
JSC,OAK1,1,532,OAKA,1,60714,80,13,0,SAVS,41,S,,,
JSC,OAK1,1,532,OAKA,1,60714,80,13,0,RWBL,89,S,,,
JSC,OAK1,1,532,OAKA,1,60714,80,13,0,SAVS,20,V,,,
JSC,OAK1,1,532,OAKA,1,60714,80,13,0,SAVS,24,S,,,
JSC,OAK1,1,907,OAKA,2,61714,3,20.7,8.3,SAVS,46,S,,,
JSC,OAK1,1,907,OAKA,2,61714,3,20.7,8.3,SAVS,30,S,,,
JSC,OAK1,1,907,OAKA,2,61714,3,20.7,8.3,COYE,35,S,,,
JSC,OAK1,1,907,OAKA,2,61714,3,20.7,8.3,RWBL,43,S,,,
JSC,OAK1,1,907,OAKA,2,61714,3,20.7,8.3,SAVS,44,S,,,
JSC,OAK1,1,907,OAKA,2,61714,3,20.7,8.3,SAVS,11,V,,,
JSC,OAK1,1,907,OAKA,2,61714,3,20.7,8.3,WEME,56,S,,,
JSC,OAK1,1,921,OAKA,3,62914,15,22.2,17,SAVS,24,V,,,
JSC,OAK1,1,921,OAKA,3,62914,15,22.2,17,SAVS,27,S,,,
JSC,OAK1,1,921,OAKA,3,62914,15,22.2,17,SAVS,26,V,,,
JSC,OAK1,1,921,OAKA,3,62914,15,22.2,17,COYE,83,S,,,
JSC,OAK1,1,921,OAKA,3,62914,15,22.2,17,SAVS,42,S,,,
JSC,OAK108,108,933,OAKD,1,60714,25,22,7.1,SAVS,27,V,,,
JSC,OAK108,108,933,OAKD,1,60714,25,22,7.1,SAVS,29,V,,,
JSC,OAK108,108,933,OAKD,1,60714,25,22,7.1,RWBL,83,V,,M,
JSC,OAK108,108,933,OAKD,1,60714,25,22,7.1,CCSP,56,S,,,
JSC,OAK108,108,933,OAKD,1,60714,25,22,7.1,CCSP,67,S,,,
JSC,OAK108,108,933,OAKD,1,60714,25,22,7.1,CCSP,24,V,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,COYE,36,S,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,COYE,38,S,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,LCSP,34,S,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,CCSP,30,S,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,SAVS,29,V,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,CCSP,33,S,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,RWBL,53,S,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,RWBL,56,S,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,LCSP,23,S,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,SEWR,29,S,,,
JSC,OAK108,108,529,OAKD,2,61714,6,12.6,3.2,WISN,90,S,,,
JSC,OAK108,108,820,OAKD,3,62914,40,19.7,20.3,CCSP,38,S,,,
JSC,OAK108,108,820,OAKD,3,62914,40,19.7,20.3,CCSP,27,S,,,
JSC,OAK108,108,820,OAKD,3,62914,40,19.7,20.3,CCSP,43,S,,,
JSC,OAK108,108,820,OAKD,3,62914,40,19.7,20.3,COYE,59,S,,,
JSC,OAK108,108,820,OAKD,3,62914,40,19.7,20.3,SOSP,87,S,,,
JSC,OAK108,108,820,OAKD,3,62914,40,19.7,20.3,CCSP,23,V,,,
JSC,OAK108,108,820,OAKD,3,62914,40,19.7,20.3,EAKI,27,V,,,
JSC,OAK110,110,923,OAKD,1,60714,30,22.1,2.7,BOBO,27,V,,M,
JSC,OAK110,110,923,OAKD,1,60714,30,22.1,2.7,BOBO,79,S,,,
JSC,OAK110,110,923,OAKD,1,60714,30,22.1,2.7,BOBO,89,V,,M,
JSC,OAK110,110,923,OAKD,1,60714,30,22.1,2.7,SAVS,38,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,SEWR,36,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,CCSP,34,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,SAVS,36,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,WEME,44,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,CCSP,46,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,LCSP,15,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,COYE,56,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,SAVS,37,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,SAVS,39,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,LCSP,13,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,RWBL,70,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,RWBL,65,S,,,
JSC,OAK110,110,539,OAKD,2,61714,8,12.6,2.1,SEWR,21,S,,,
JSC,OAK110,110,758,OAKD,3,62914,50,19.1,15.2,CCSP,67,S,,,
JSC,OAK110,110,758,OAKD,3,62914,50,19.1,15.2,SAVS,50,S,,,
JSC,OAK110,110,758,OAKD,3,62914,50,19.1,15.2,SEWR,46,S,,,
JSC,OAK110,110,758,OAKD,3,62914,50,19.1,15.2,CCSP,72,S,,,
JSC,OAK110,110,758,OAKD,3,62914,50,19.1,15.2,SAVS,38,S,,,
JSC,OAK110,110,758,OAKD,3,62914,50,19.1,15.2,CCSP,57,S,,,
JSC,OAK112,112,914,OAKD,1,60714,53,19,0,BOBO,72,S,,,
JSC,OAK112,112,914,OAKD,1,60714,53,19,0,COYE,65,S,,,
JSC,OAK112,112,914,OAKD,1,60714,53,19,0,SEWR,35,S,,,
JSC,OAK112,112,914,OAKD,1,60714,53,19,0,CCSP,52,S,,,
JSC,OAK112,112,914,OAKD,1,60714,53,19,0,WIFL,69,S,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,BOBO,58,V,,M,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,SEWR,34,S,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,EAKI,59,V,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,RWBL,70,S,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,CCSP,56,S,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,CCSP,48,S,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,EAKI,63,V,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,WEME,51,S,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,SORA,83,S,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,BHCO,48,S,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,CCSP,59,S,,,
JSC,OAK112,112,550,OAKD,2,61714,8,12.6,3.5,SEWR,63,S,,,
JSC,OAK112,112,748,OAKD,3,62914,70,19.1,12.1,SAVS,36,S,,,
JSC,OAK112,112,748,OAKD,3,62914,70,19.1,12.1,SEWR,43,S,,,
JSC,OAK112,112,748,OAKD,3,62914,70,19.1,12.1,SAVS,24,S,,,
JSC,OAK112,112,748,OAKD,3,62914,70,19.1,12.1,SAVS,32,S,,,
JSC,OAK112,112,748,OAKD,3,62914,70,19.1,12.1,CCSP,26,V,,,
JSC,OAK112,112,748,OAKD,3,62914,70,19.1,12.1,CCSP,28,V,,,
JSC,OAK112,112,748,OAKD,3,62914,70,19.1,12.1,LCSP,36,S,,,
JSC,OAK112,112,748,OAKD,3,62914,70,19.1,12.1,CCSP,52,V,,,
JSC,OAK112,112,748,OAKD,3,62914,70,19.1,12.1,BOBO,86,S,,,
JSC,OAK120,120,825,OAKE,1,60814,6,19,8.6,SAVS,17,S,,,
JSC,OAK120,120,825,OAKE,1,60814,6,19,8.6,SAVS,36,S,,,
JSC,OAK120,120,825,OAKE,1,60814,6,19,8.6,SAVS,38,S,,,
JSC,OAK120,120,825,OAKE,1,60814,6,19,8.6,SAVS,51,S,,,
JSC,OAK120,120,825,OAKE,1,60814,6,19,8.6,BOBO,73,S,,,
JSC,OAK120,120,825,OAKE,1,60814,6,19,8.6,BOBO,78,S,,,
JSC,OAK120,120,825,OAKE,1,60814,6,19,8.6,WEME,71,S,,,
JSC,OAK120,120,825,OAKE,1,60814,6,19,8.6,SAVS,60,S,,,
JSC,OAK120,120,538,OAKE,2,61814,10,15.3,4.5,LCSP,20,S,,,
JSC,OAK120,120,538,OAKE,2,61814,10,15.3,4.5,LCSP,23,S,,,
JSC,OAK120,120,538,OAKE,2,61814,10,15.3,4.5,SAVS,24,S,,,
JSC,OAK120,120,538,OAKE,2,61814,10,15.3,4.5,BOBO,68,S,,,
JSC,OAK120,120,538,OAKE,2,61814,10,15.3,4.5,COYE,51,S,,,
JSC,OAK120,120,538,OAKE,2,61814,10,15.3,4.5,SEWR,29,S,,,
JSC,OAK120,120,538,OAKE,2,61814,10,15.3,4.5,RWBL,57,S,,,
JSC,OAK120,120,538,OAKE,2,61814,10,15.3,4.5,SAVS,26,S,,,
JSC,OAK120,120,538,OAKE,2,61814,10,15.3,4.5,SAVS,17,V,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,SAVS,26,S,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,SAVS,32,S,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,CCSP,63,S,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,SEWR,68,S,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,LCSP,36,S,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,WEME,69,S,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,SAVS,53,S,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,LCSP,24,S,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,SEWR,72,S,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,COYE,70,S,,,
JSC,OAK120,120,701,OAKE,3,70214,1,12.9,6,CCSP,65,S,,,
JSC,OAK13,13,620,OAKA,1,60714,60,14.5,0,SAVS,13,V,,,
JSC,OAK13,13,620,OAKA,1,60714,60,14.5,0,SAVS,34,S,,,
JSC,OAK13,13,620,OAKA,1,60714,60,14.5,0,SAVS,36,S,,,
JSC,OAK13,13,620,OAKA,1,60714,60,14.5,0,BOBO,81,S,,,
JSC,OAK13,13,620,OAKA,1,60714,60,14.5,0,LCSP,36,S,,,
JSC,OAK13,13,620,OAKA,1,60714,60,14.5,0,SAVS,25,V,,,
JSC,OAK13,13,620,OAKA,1,60714,60,14.5,0,SAVS,27,S,,,
JSC,OAK13,13,620,OAKA,1,60714,60,14.5,0,BOBO,46,S,,,
JSC,OAK13,13,620,OAKA,1,60714,60,14.5,0,SAVS,23,S,,,
JSC,OAK13,13,917,OAKA,2,61714,2,21,8.5,SAVS,28,V,,,
JSC,OAK13,13,917,OAKA,2,61714,2,21,8.5,SAVS,34,S,,,
JSC,OAK13,13,917,OAKA,2,61714,2,21,8.5,SAVS,21,S,,,
JSC,OAK13,13,917,OAKA,2,61714,2,21,8.5,WEME,38,S,,,
JSC,OAK13,13,917,OAKA,2,61714,2,21,8.5,SAVS,12,S,,,
JSC,OAK13,13,917,OAKA,2,61714,2,21,8.5,RWBL,68,S,,,
JSC,OAK13,13,930,OAKA,3,62914,10,22.1,16.3,SAVS,30,S,,,
JSC,OAK13,13,930,OAKA,3,62914,10,22.1,16.3,SAVS,33,S,,,
JSC,OAK13,13,930,OAKA,3,62914,10,22.1,16.3,SAVS,18,V,,,
JSC,OAK13,13,930,OAKA,3,62914,10,22.1,16.3,SAVS,48,V,,,
JSC,OAK13,13,930,OAKA,3,62914,10,22.1,16.3,SAVS,36,S,,,
