Observer,Point,Time,Site,Bird_Point,Visit,Date,Wind,Aou_Code,Distance,Detection,Flyover,Sex,Notes
JSC,1,552,OAKA,OAK1,1,52515,0,SAVS,32,S,,,
JSC,1,552,OAKA,OAK1,1,52515,0,SAVS,47,S,,,
JSC,1,552,OAKA,OAK1,1,52515,0,SAVS,50,S,,,
JSC,1,552,OAKA,OAK1,1,52515,0,WEME,70,S,,,
JSC,1,552,OAKA,OAK1,1,52515,0,RWBL,80,S,,,
JSC,1,552,OAKA,OAK1,1,52515,0,RWBL,92,S,,,
JSC,1,723,OAKA,OAK1,2,60715,2,KILL,40,V,,,
JSC,1,723,OAKA,OAK1,2,60715,2,KILL,40,V,,,
JSC,1,723,OAKA,OAK1,2,60715,2,MAGO,43,V,,,
JSC,1,723,OAKA,OAK1,2,60715,2,BRBL,30,V,,M,
JSC,1,723,OAKA,OAK1,2,60715,2,BRBL,20,V,,M,
JSC,1,723,OAKA,OAK1,2,60715,2,WEME,88,S,,,
JSC,1,723,OAKA,OAK1,2,60715,2,SAVS,45,S,,,
JSC,1,723,OAKA,OAK1,2,60715,2,SAVS,60,S,,,
JSC,1,723,OAKA,OAK1,2,60715,2,KILL,75,V,,,
JSC,1,723,OAKA,OAK1,2,60715,2,BRBL,60,S,,,
JSC,1,839,OAKA,OAK1,3,61315,3,KILL,20,V,,,
JSC,1,839,OAKA,OAK1,3,61315,3,BHCO,20,V,,M,
JSC,1,839,OAKA,OAK1,3,61315,3,KILL,38,S,,,
JSC,1,839,OAKA,OAK1,3,61315,3,KILL,45,S,,,
JSC,1,839,OAKA,OAK1,3,61315,3,AMRO,48,V,,M,
JSC,1,839,OAKA,OAK1,3,61315,3,WEME,85,S,,,
JSC,1,839,OAKA,OAK1,3,61315,3,SAVS,15,S,,,
JSC,1,839,OAKA,OAK1,3,61315,3,SAVS,35,S,,,
JSC,1,839,OAKA,OAK1,3,61315,3,SAVS,48,S,,,
JSC,1,839,OAKA,OAK1,3,61315,3,RWBL,62,V,,M,
JSC,1,839,OAKA,OAK1,3,61315,3,BRBL,57,V,,M,
JSC,1,839,OAKA,OAK1,3,61315,3,COYE,45,S,,,
JSC,1,600,OAKA,OAK1,4,62515,0,WEME,80,S,,,
JSC,1,600,OAKA,OAK1,4,62515,0,KILL,70,S,,,
JSC,1,600,OAKA,OAK1,4,62515,0,MAWR,80,S,,,
JSC,1,600,OAKA,OAK1,4,62515,0,AMRO,57,V,,M,
JSC,1,600,OAKA,OAK1,4,62515,0,SAVS,20,S,,,
JSC,1,600,OAKA,OAK1,4,62515,0,SAVS,25,S,,,
JSC,1,600,OAKA,OAK1,4,62515,0,SAVS,30,S,,,
JSC,1,600,OAKA,OAK1,4,62515,0,SEWR,53,S,,,
JSC,1,600,OAKA,OAK1,4,62515,0,WEME,89,S,,,
JSC,1,600,OAKA,OAK1,4,62515,0,RWBL,75,V,,M,
JSC,1,600,OAKA,OAK1,4,62515,0,AMRO,80,S,,,
JSC,5,605,OAKA,OAK5,1,52515,0,WEME,35,V,,,
JSC,5,605,OAKA,OAK5,1,52515,0,SAVS,56,S,,,
JSC,5,605,OAKA,OAK5,1,52515,0,SAVS,40,S,,,
JSC,5,605,OAKA,OAK5,1,52515,0,SAVS,25,S,,,
JSC,5,605,OAKA,OAK5,1,52515,0,RWBL,81,V,,U,
JSC,5,605,OAKA,OAK5,1,52515,0,BRBL,76,V,,M,
JSC,5,605,OAKA,OAK5,1,52515,0,SAVS,48,V,,,
JSC,5,605,OAKA,OAK5,1,52515,0,WEME,42,S,,,
