Burn,Date,Bird_Point,Veg_Plot,Grass_Percent,Woody_Percent,Forb_Percent,Bare_Percent,VOR_N,VOR_W,VOR_S,VOR_E,VOR_Avg,LiveHt_NW,LiveHt_NE,LiveHt_SW,LiveHt_SE,LiveHt_AVG,LitterDep_NW,LitterDep_NE,LitterDep_SW,LitterDep_SE,LitterDep_AVG,Trees,Shrubs
Y,2014,1,3,100,0,0,5,5,7.5,2.5,10,6.25,10.3,19.8,14.3,23.5,16.975,2,0.5,3.8,0,1.575,0,0
Y,2015,1,3,100,0,0,15,2.5,2.5,5,2.5,3.125,7.2,14.1,13.7,13.1,12.025,0,0,0,0,0,0,0
Y,2014,5,3,95,0,5,0,5,5,12.5,2.5,6.25,0,22.4,6,22.5,12.725,0.3,1,2,0,0.825,0,0
Y,2015,5,3,100,0,0,0,20,20,22.5,20,20.625,40,39.6,41.8,44.2,41.4,0.5,0,0,0,0.125,0,0
Y,2014,13,3,85,0,15,0,20,20,22.5,30,23.125,27.5,35.8,30.5,10.3,26.025,0.2,0,0.6,0.2,0.25,0,0
Y,2015,13,3,70,0,30,0,15,27.5,27.5,15,21.25,49,64.5,21,21.4,38.975,0,3,2.9,0,1.475,0,0
Y,2014,15,3,100,0,0,0,2.5,7.5,2.5,2.5,3.75,7.8,23.9,15.2,13,14.975,1,0.1,0.8,0.9,0.7,0,1
Y,2015,15,3,100,0,0,0,7.5,5,5,10,6.875,27,19.2,16,12.1,18.575,0,0.2,0,0,0.05,0,0
Y,2014,27,3,100,0,0,0,20,10,17.5,2.5,12.5,18.1,47.2,46.1,58.4,42.45,3.2,2.1,3.1,2.8,2.8,0,3
Y,2015,27,3,100,0,0,5,25,35,20,30,27.5,37,44.2,53.4,45,44.9,0,0,0,0,0,0,0
N,2014,37,3,15,35,50,0,40,30,30,15,28.75,48.5,34.2,36.6,54.6,43.475,0.1,0.2,0.2,0.5,0.25,1,31
N,2015,37,3,70,5,25,0,30,35,35,15,28.75,43,10.1,34,46.6,33.425,2,2.8,1.5,0.7,1.75,3,25
N,2014,39,3,100,0,0,0,32.5,30,22.5,30,28.75,21.5,33.2,47.3,28.7,32.675,1.6,0.8,0.8,2,1.3,0,1
N,2015,39,3,90,0,10,0,25,35,22.5,22.5,26.25,53,38.8,26.4,26.5,36.175,4.2,5,2,6,4.3,2,0
N,2014,51,3,90,0,10,0,0,5,2.5,2.5,2.5,6.5,19.5,10.9,16.2,13.275,2.8,1,0.4,2.3,1.625,3,6
N,2015,51,3,80,0,20,0,15,12.5,12.5,5,11.25,33,34,25.2,21,28.3,1.8,0,1.5,0.3,0.9,6,5
N,2014,53,3,70,0,30,0,15,12.5,12.5,25,16.25,28.4,18.1,41.2,38.4,31.525,1.8,0.4,1.3,1.8,1.325,0,0
N,2015,53,3,30,0,70,0,35,25,30,30,30,46.5,46,34,54.4,45.225,2.8,3.2,0.1,2,2.025,0,0
