Bird_Point,site,Point,Observer,PointNum,Time1,Date1,Wind1,Time2,Date2,Wind2,Time3,Date3,Wind3,Time4,Date4,Wind4,ForbAvg,ForbSD,GrassAvg,GrassSD,WoodyAvg,WoodySD,BareAvg,BareSD,WdyStemsAvg,WdyStemsSD,SpurgeStmAvg,SpurgeStmSD,LiveHtAvg,LiveHtSD,VORAvg,VORSD,LitterDptAvg,LitterDptSD,Trees,Shrubs,WoodyIndex,BoVisit1,BoVisit2,BoVisit3,BoVisit4,BoAvg,SaVisit1,SaVisit2,SaVisit3,SaVisit4,SaAvg,SeVisit1,SeVisit2,SeVisit3,SeVisit4,SeAvg,LcVisit1,LcVisit2,LcVisit3,LcVisit4,LcAvg,WeVisit1,WeVisit2,WeVisit3,WeVisit4,WeAvg,CcVisit1,CcVisit2,CcVisit3,CcVisit4,CcAvg,Burned,BurnArea,UTM_E,UTM_N
OAK1,OAK1,1,JSC,1,0.216666667,1,0,1.883333333,14,2,3.166666667,20,3,0.483333333,32,0,2,4.472135955,98,4.472135955,0,0,15,12.74754878,0,0,0,0,19.835,4.680231031,6.5,4.476501145,0.18,0.211689631,0,0,0,0,0,0,0,0,3,2,3,3,2.666666667,0,0,0,1,0.333333333,0,0,0,0,0,1,1,1,2,1.333333333,0,0,0,0,0,Y,A,625252.286,5308464.094
OAK5,OAK5,5,JSC,5,0.433333333,1,0,2.066666667,14,2,3,20,3,0.3,32,0,14,15.16575089,86,15.16575089,0,0,2,2.738612788,0,0,0,0,50.54,19.52596508,31.25,15.23257201,0.045,0.051234754,0,0,0,0,0,0,0,0,5,3,4,5,4,0,0,0,0,0,1,0,0,1,0.333333333,2,1,1,1,1,0,0,0,0,0,Y,A,625651.147,5308468.063
OAK13,OAK13,13,JSC,13,0.033333333,1,1,1.733333333,14,2,3.316666667,20,3,0.633333333,32,0,9,12.4498996,91,12.4498996,0,0,12,16.80773631,0,0,0,0,20.845,13.59548868,8.125,7.930360963,0.47,0.642115644,0,0,0,0,0,0,0,0,4,2,3,3,2.666666667,0,0,0,1,0.333333333,0,0,0,0,0,2,0,3,1,1.333333333,0,0,0,1,0.333333333,Y,A,625260.224,5308261.688
OAK15,OAK15,15,JSC,15,0.616666667,1,0,2.233333333,14,3,2.833333333,20,2,0.133333333,32,0,17,17.17556404,83,17.17556404,0,0,4,4.183300133,0,0,0,0,17.535,6.215469612,8.125,2.209708691,0.1,0.058630197,0,0,0,0,0,0,0,0,4,3,2,4,3,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,Y,A,625458.222,5308265.702
OAK27,OAK27,27,JSC,27,0.783333333,1,0,2.383333333,14,3,2.683333333,20,2,-0.016666667,32,0,19,24.08318916,81,24.08318916,0,0,4,4.183300133,0,0,0,0,33.9,7.999824217,16.75,8.470998318,0.275,0.35,0,0,0,0,0,0,0,0,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,1,0.333333333,Y,A,625464.462,5308065.332
OAK37,OAK37,37,JSC,37,0.966666667,1,0,3.05,14,3,2.35,20,2,0.85,32,0,29,28.80972058,63,31.93743885,8,4.472135955,0,0,13,9.433981132,0,0,47.42,8.644080344,38.125,8.882919002,5.47,2.247665456,3,25,28,0,0,0,0,0,1,4,2,3,3,2,0,1,1,0.666666667,0,0,1,0,0.333333333,0,1,1,1,1,5,1,2,3,2,N,U,625277.344,5307669.883
OAK39,OAK39,39,JSC,39,1.116666667,1,0,2.883333333,14,3,2.5,20,2,0.983333333,32,0,9,12.4498996,91,12.4498996,0,0,0,0,0,0,0,0,45.8,9.656765763,32.125,9.085101128,5.2,2.451593869,2,0,2,4,2,2,1,1.666666667,4,4,4,4,4,0,0,0,0,0,0,0,0,1,0.333333333,1,0,0,1,0.333333333,2,1,2,1,1.333333333,N,U,625475.974,5307678.796
OAK51,OAK51,51,JSC,51,1.283333333,1,0,2.733333333,14,3,2.183333333,20,2,1.133333333,32,0,16,15.5724115,84,15.5724115,0,0,0,0,0,0,0,0,41.025,9.088385445,25.25,9.181332964,3.275,1.534804548,6,5,11,2,1,0,1,0.666666667,2,2,5,3,3.333333333,1,1,0,1,0.666666667,0,0,0,1,0.333333333,0,1,1,1,1,3,2,1,3,2,N,U,625482.34,5307479.529
OAK53,OAK53,53,JSC,53,1.433333333,1,1,2.6,14,3,2.033333333,20,2,1.283333333,32,0,17,29.9165506,83,29.9165506,0,0,0,0,0,0,0,0,43.755,3.883836698,29.75,3.354101966,3.455,1.680717853,0,0,0,4,3,2,2,2.333333333,4,3,4,3,3.333333333,1,1,2,0,1,1,2,0,0,0.666666667,1,1,0,1,0.666666667,0,1,0,1,0.666666667,N,U,625683.517,5307487.805
OAK63,OAK63,63,JSC,63,1.8,1,0,2.4,13,3,1.7,20,0,1.633333333,32,0,32,35.10697936,65,33.35416016,3,6.708203932,0,0,6,13.41640786,0,0,46.3,24.98498924,29.5,20.9650006,3.195,3.173001339,0,2,2,1,2,0,0,0.666666667,1,2,6,3,3.666666667,1,0,2,1,1,0,1,0,0,0.333333333,0,1,0,0,0.333333333,1,1,1,1,1,N,U,626276.389,5307714.583
