site,Bird_Point,BoVisit1,BoVisit2,BoVisit3,SaVisit1,SaVisit2,SaVisit3,SeVisit1,SeVisit2,SeVisit3,LcVisit1,LcVisit2,LcVisit3,WeVisit1,WeVisit2,WeVisit3,CcVisit1,CcVisit2,CcVisit3,Time1,Date1,Cloud1,Temp1,Wind1,Time2,Date2,Cloud2,Temp2,Wind2,Time3,Date3,Cloud3,Temp3,Wind3,ForbAvg,ForbSD,GrassAvg,GrassSD,WoodyAvg,WoodySD,BareAvg,BareSD,LiveHtAvg,LiveHtSD,VORAvg,VORSD,LitterDptAvg,LitterDptSD,DistanceToNearWoody,Trees,Shrubs,WoodyIndex,Point,Burned,BurnArea,TestCol,UTM_E,UTM_N,VOR_GIS
OAK1,OAK1,1,0,0,5,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,14,80,13,0,3.65,24,3,20.7,8.3,3.816666667,36,15,22.2,17,15,18.70828693,85,18.70828693,0,0,1,2.236067977,22.24,5.455318506,6.875,1.593443598,2.28,0.846758525,NA,0,0,0,1,Y,A,A,625252.286,5308464.094,16.13030379
OAK5,OAK5,2,1,0,4,3,3,1,0,1,0,0,1,1,0,1,1,0,1,0.233333333,14,70,13,0,3.416666667,24,6,20.1,11.3,3.633333333,36,35,23.2,17.3,13.75,17.96988221,86.25,17.96988221,0,0,0,0,19.38125,9.941922496,10.78125,3.035167143,1.68125,1.236152465,NA,0,0,0,5,Y,A,A,625651.147,5308468.063,35.3892115
OAK13,OAK13,2,0,0,6,4,5,0,0,0,1,0,0,0,1,0,0,0,1,0.8,14,60,14.5,0,3.816666667,24,2,21,8.5,3.966666667,36,10,22.1,16.3,4,6.519202405,96,6.519202405,0,0,0,0,26.435,6.176836771,14.875,6.575879219,2.245,1.688416418,NA,0,0,0,13,Y,A,A,625260.224,5308261.688,20.75158487
OAK15,OAK15,1,0,1,3,4,4,0,0,0,3,0,0,1,1,1,1,1,0,0.416666667,14,70,13,0,3.233333333,24,8,20.1,8.7,3.45,36,40,22,18.5,4,4.183300133,96,4.183300133,0,0,0,0,19.51,7.932992815,8.875,4.643543905,1.99,1.15442085,12,0,1,1,15,Y,A,A,625458.222,5308265.702,19.66296726
OAK27,OAK27,4,1,0,5,4,5,0,0,0,1,0,0,0,0,1,0,0,0,0.6,14,65,14,0,3.066666667,24,5,19.3,6.3,3.283333333,36,40,24.4,12.3,12,15.24795068,88,15.24795068,0,0,0,0,28.49,13.30850997,10.25,2.100967039,2.285,0.616086439,32,0,3,3,27,Y,A,A,625464.462,5308065.332,28.64108999
OAK37,OAK37,1,0,0,0,3,1,2,0,2,0,0,1,0,1,1,3,3,3,1.05,14,60,15.5,0,2.866666667,24,5,18.9,8.7,0.083333333,36,6,17.9,10.9,36,26.07680962,51,32.48076354,13,14.83239697,0,0,46.03,12.95955728,29.625,7.986805525,1.655,1.01679644,0,1,31,32,37,N,U,A,625277.344,5307669.883,33.55732253
OAK39,OAK39,2,3,1,2,5,6,0,0,1,0,0,0,2,1,1,2,0,0,1.216666667,14,50,15,0,2.716666667,24,4,18.5,9.2,0.25,36,8,18,8.3,0,0,100,0,0,0,0,0,30.72,5.148707362,16,7.559658557,1.635,0.506705042,48,0,1,1,39,N,U,A,625475.974,5307678.796,36.08283585
OAK51,OAK51,2,2,0,2,3,4,2,0,2,0,0,0,1,2,1,1,1,1,1.4,14,60,15.5,0,2.55,24,4,18.3,9.4,0.4,36,7,18.2,10,21,24.59674775,76,25.0998008,3,4.472135955,0,0,36.055,18.05889151,18.125,12.35067053,3.035,1.635791093,62,3,6,9,51,N,U,A,625482.34,5307479.529,32.90835135
OAK53,OAK53,3,2,0,4,5,6,1,0,1,1,0,0,1,2,1,0,0,0,1.583333333,14,68,15.5,0,2.383333333,24,4,18.3,16,0.55,36,12,18.8,10.3,8.75,14.36140662,91.25,14.36140662,0,0,0,0,29.89375,7.187673911,14.0625,3.442231592,1.75,0.520016025,NA,0,0,0,53,N,U,A,625683.517,5307487.805,33.02605522
OAK63,OAK63,1,1,0,3,3,6,2,1,2,1,1,0,0,2,1,0,1,1,2.183333333,14,70,16,3.6,1.983333333,24,4,17.3,6.5,1.1,36,30,18.8,16.5,13,13.96424004,87,13.96424004,0,0,0,0,25.03,4.139119774,12.625,6.693630368,3.29,0.978615093,NA,0,0,0,63,N,U,A,626276.389,5307714.583,30.86350411
